posting_id,role,skill_id,name,facet,ai_era
cake:cathayins/8fafa0,ml_engineer,aws,AWS,7,False
cake:KPMG/f18115bd-601b-4463-9704-3ca5d7592732-consultant-department-consulta-a3ef9f987036469758c60cdc640bf1,data_engineer,java,Java,1,False
cake:KPMG/f18115bd-601b-4463-9704-3ca5d7592732-consultant-department-consulta-a3ef9f987036469758c60cdc640bf1,data_engineer,python,Python,1,False
cake:KPMG/f18115bd-601b-4463-9704-3ca5d7592732-consultant-department-consulta-a3ef9f987036469758c60cdc640bf1,data_engineer,r_lang,R,1,False
cake:KPMG/f18115bd-601b-4463-9704-3ca5d7592732-consultant-department-consulta-a3ef9f987036469758c60cdc640bf1,data_engineer,sql,SQL,1,False
cake:KPMG/f18115bd-601b-4463-9704-3ca5d7592732-consultant-department-consulta-a3ef9f987036469758c60cdc640bf1,data_engineer,spark,Apache Spark,2,False
cake:KPMG/f18115bd-601b-4463-9704-3ca5d7592732-consultant-department-consulta-a3ef9f987036469758c60cdc640bf1,data_engineer,data_warehouse,Data Warehouse,2,False
cake:KPMG/f18115bd-601b-4463-9704-3ca5d7592732-consultant-department-consulta-a3ef9f987036469758c60cdc640bf1,data_engineer,hadoop,Hadoop,2,False
cake:KPMG/f18115bd-601b-4463-9704-3ca5d7592732-consultant-department-consulta-a3ef9f987036469758c60cdc640bf1,data_engineer,hive,Hive,2,False
cake:KPMG/f18115bd-601b-4463-9704-3ca5d7592732-consultant-department-consulta-a3ef9f987036469758c60cdc640bf1,data_engineer,machine_learning,Machine Learning (general),3,False
cake:KPMG/f18115bd-601b-4463-9704-3ca5d7592732-consultant-department-consulta-a3ef9f987036469758c60cdc640bf1,data_engineer,statistics,Statistics,3,False
cake:KPMG/f18115bd-601b-4463-9704-3ca5d7592732-consultant-department-consulta-a3ef9f987036469758c60cdc640bf1,data_engineer,aws,AWS,7,False
cake:KPMG/f18115bd-601b-4463-9704-3ca5d7592732-consultant-department-consulta-a3ef9f987036469758c60cdc640bf1,data_engineer,azure,Azure,7,False
cake:KPMG/f18115bd-601b-4463-9704-3ca5d7592732-consultant-department-consulta-a3ef9f987036469758c60cdc640bf1,data_engineer,gcp,GCP,7,False
cake:KPMG/f18115bd-601b-4463-9704-3ca5d7592732-consultant-department-consulta-a3ef9f987036469758c60cdc640bf1,data_engineer,dotnet,.NET,9,False
cake:7eleventw/4bdffd,data_engineer,java,Java,1,False
cake:7eleventw/4bdffd,data_engineer,python,Python,1,False
cake:7eleventw/4bdffd,data_engineer,scala,Scala,1,False
cake:7eleventw/4bdffd,data_engineer,airflow,Airflow,2,False
cake:7eleventw/4bdffd,data_engineer,kafka,Apache Kafka,2,False
cake:7eleventw/4bdffd,data_engineer,spark,Apache Spark,2,False
cake:7eleventw/4bdffd,data_engineer,bigquery,BigQuery,2,False
cake:7eleventw/4bdffd,data_engineer,etl,ETL/ELT,2,False
cake:7eleventw/4bdffd,data_engineer,numpy,NumPy,2,False
cake:7eleventw/4bdffd,data_engineer,redshift,Redshift,2,False
cake:7eleventw/4bdffd,data_engineer,snowflake,Snowflake,2,False
cake:7eleventw/4bdffd,data_engineer,lightgbm,LightGBM,3,False
cake:7eleventw/4bdffd,data_engineer,machine_learning,Machine Learning (general),3,False
cake:7eleventw/4bdffd,data_engineer,scikit_learn,scikit-learn,3,False
cake:7eleventw/4bdffd,data_engineer,statistics,Statistics,3,False
cake:7eleventw/4bdffd,data_engineer,pytorch,PyTorch,4,False
cake:7eleventw/4bdffd,data_engineer,tensorflow,TensorFlow,4,False
cake:7eleventw/4bdffd,data_engineer,transformer,Transformer,4,False
cake:7eleventw/4bdffd,data_engineer,ci_cd,CI/CD,6,False
cake:7eleventw/4bdffd,data_engineer,docker,Docker,6,False
cake:7eleventw/4bdffd,data_engineer,kubeflow,Kubeflow,6,True
cake:7eleventw/4bdffd,data_engineer,kubernetes,Kubernetes,6,False
cake:7eleventw/4bdffd,data_engineer,mlflow,MLflow,6,True
cake:7eleventw/4bdffd,data_engineer,aws,AWS,7,False
cake:7eleventw/4bdffd,data_engineer,azure,Azure,7,False
cake:7eleventw/4bdffd,data_engineer,databricks,Databricks,7,False
cake:7eleventw/4bdffd,data_engineer,gcp,GCP,7,False
cake:KPMG/7f6c2703-2066-4575-8c08-66d348944a41-consulting-department-financia-e90a166b66daa76729040efaf49039,algorithm_engineer,machine_learning,Machine Learning (general),3,False
cake:KPMG/7f6c2703-2066-4575-8c08-66d348944a41-consulting-department-financia-e90a166b66daa76729040efaf49039,algorithm_engineer,statistics,Statistics,3,False
cake:KPMG/7f6c2703-2066-4575-8c08-66d348944a41-consulting-department-financia-e90a166b66daa76729040efaf49039,algorithm_engineer,deep_learning,Deep Learning (general),4,False
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,spark,Apache Spark,2,False
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,hadoop,Hadoop,2,False
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,feature_engineering,Feature Engineering,3,False
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,machine_learning,Machine Learning (general),3,False
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,statistics,Statistics,3,False
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,computer_vision,Computer Vision,4,False
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,deep_learning,Deep Learning (general),4,False
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,pytorch,PyTorch,4,False
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,tensorflow,TensorFlow,4,False
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,ai_agents,AI Agents,5,True
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,fine_tuning,Fine-tuning,5,True
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,langchain,LangChain,5,True
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,llm,Large Language Models,5,True
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,prompt_engineering,Prompt Engineering,5,True
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,rag,RAG,5,True
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,kubernetes,Kubernetes,6,False
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,model_serving,Model Serving,6,True
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,data_viz,Data Visualization,8,False
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,power_bi,Power BI,8,False
cake:nshr-nanshanlife/data-scientist-innovation-and-development-division-expanded-9b7,ml_engineer,tableau,Tableau,8,False
cake:tsmc/ai-ml-application-engineer_imc,ml_engineer,python,Python,1,False
cake:tsmc/ai-ml-application-engineer_imc,ml_engineer,r_lang,R,1,False
cake:tsmc/ai-ml-application-engineer_imc,ml_engineer,machine_learning,Machine Learning (general),3,False
cake:tsmc/ai-ml-application-engineer_imc,ml_engineer,statistics,Statistics,3,False
cake:tsmc/ai-ml-application-engineer_imc,ml_engineer,time_series,Time Series,3,False
cake:tsmc/ai-ml-application-engineer_imc,ml_engineer,pytorch,PyTorch,4,False
cake:tsmc/ai-ml-application-engineer_imc,ml_engineer,tensorflow,TensorFlow,4,False
cake:tsmc/ai-ml-application-engineer_imc,ml_engineer,docker,Docker,6,False
cake:tsmc/ai-ml-application-engineer_imc,ml_engineer,kubernetes,Kubernetes,6,False
cake:funnow/dsimachine-learning-engineer,backend,python,Python,1,False
cake:funnow/dsimachine-learning-engineer,backend,sql,SQL,1,False
cake:funnow/dsimachine-learning-engineer,backend,mysql,MySQL,2,False
cake:funnow/dsimachine-learning-engineer,backend,postgresql,PostgreSQL,2,False
cake:funnow/dsimachine-learning-engineer,backend,machine_learning,Machine Learning (general),3,False
cake:funnow/dsimachine-learning-engineer,backend,llm,Large Language Models,5,True
